hhsize,nchildren,EarnedIncome,FoodStampAmount,state
2,0,1600,0,AL
2,0,1600,0,AL
2,0,1600,0,AL
5,4,0,613,AL
5,4,0,613,AL
5,4,0,613,AL
5,4,0,613,AL
1,0,0,155,AL
1,0,0,155,AL
1,0,0,155,AL
1,0,0,155,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
4,2,1800,65,AL
3,2,720,0,AL
3,2,0,0,AL
3,2,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
2,0,4207,0,AL
2,0,4283,0,AL
2,0,4283,0,AL
2,0,4283,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
3,0,6251,0,AL
3,0,6251,0,AL
3,0,6251,0,AL
3,0,6251,0,AL
2,0,0,42,AL
2,0,0,42,AL
2,0,0,42,AL
2,0,0,42,AL
5,1,4482,0,AL
5,1,4482,0,AL
5,1,4482,0,AL
5,1,4482,0,AL
2,0,3562,0,AL
2,0,3562,0,AL
2,0,3562,0,AL
2,0,3562,0,AL
2,0,0,125,AL
2,0,0,125,AL
2,0,0,125,AL
2,0,0,125,AL
2,0,0,125,AL
2,0,0,125,AL
2,0,0,125,AL
2,0,0,125,AL
1,0,0,121,AL
1,0,0,121,AL
1,0,0,121,AL
1,0,0,121,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
4,2,638,186,AL
4,2,614,186,AL
4,2,614,186,AL
4,2,614,186,AL
1,0,0,131,AL
1,0,0,131,AL
1,0,0,131,AL
1,0,0,131,AL
2,1,642,156,AL
2,1,642,156,AL
2,1,642,156,AL
2,1,642,0,AL
2,1,1400,0,AL
2,1,1400,0,AL
2,1,1400,0,AL
2,1,1400,0,AL
1,0,0,47,AL
1,0,0,47,AL
1,0,0,47,AL
1,0,0,47,AL
1,0,3250,0,AL
1,0,3250,0,AL
1,0,3250,0,AL
1,0,3250,0,AL
2,0,8000,0,AL
2,0,8000,0,AL
2,0,8000,0,AL
2,0,8000,0,AL
2,0,5576,0,AL
2,0,5576,0,AL
2,0,5576,0,AL
2,0,5576,0,AL
1,0,1498,0,AL
1,0,1498,0,AL
1,0,1498,0,AL
1,0,1498,0,AL
3,0,2598,0,AL
3,0,2598,0,AL
3,0,2598,0,AL
3,0,2598,0,AL
2,0,1819,0,AL
2,0,1819,0,AL
2,0,1819,0,AL
2,0,1819,0,AL
2,0,7500,0,AL
2,0,7500,0,AL
2,0,7500,0,AL
2,0,7500,0,AL
2,0,0,150,AL
2,0,0,150,AL
2,0,0,150,AL
2,0,0,150,AL
2,0,0,150,AL
2,0,0,150,AL
2,0,0,150,AL
2,0,0,150,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
2,0,5080,0,AL
2,0,5080,0,AL
2,0,5080,0,AL
2,0,5080,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
3,0,0,0,AL
3,0,0,0,AL
3,0,0,0,AL
3,0,0,0,AL
2,1,1299,0,AL
2,1,1299,0,AL
2,1,1299,0,AL
2,1,1299,0,AL
1,0,4000,0,AL
1,0,4000,0,AL
1,0,4000,0,AL
1,0,4000,0,AL
2,0,14312,0,AL
2,0,14312,0,AL
2,0,14312,0,AL
2,0,14312,0,AL
2,0,1000,0,AL
2,0,1000,0,AL
2,0,1000,0,AL
2,0,1000,0,AL
3,1,7601,0,AL
3,1,7601,0,AL
3,1,7601,0,AL
3,1,7601,0,AL
2,0,2900,0,AL
2,0,2900,0,AL
2,0,2900,0,AL
2,0,0,0,AL
1,0,3583,0,AL
1,0,3583,0,AL
1,0,3583,0,AL
1,0,0,0,AL
4,2,6250,0,AL
4,2,6250,0,AL
4,2,6250,0,AL
4,2,6970,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,2678,0,AL
1,0,2678,0,AL
1,0,2678,0,AL
1,0,2678,0,AL
1,0,2765,0,AL
1,0,2765,0,AL
1,0,2765,0,AL
1,0,2765,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
2,0,5630,0,AL
2,0,5630,0,AL
2,0,5630,0,AL
2,0,5630,0,AL
4,2,2500,0,AL
4,2,2500,0,AL
4,2,2500,0,AL
4,2,2500,0,AL
3,1,7500,0,AL
3,1,7500,0,AL
3,1,7500,0,AL
3,1,7500,0,AL
2,0,4426,0,AL
2,0,4364,0,AL
2,0,4364,0,AL
2,0,4364,0,AL
6,1,2260,0,AL
6,3,2260,0,AL
6,1,2260,0,AL
6,3,2260,0,AL
6,1,2260,0,AL
6,3,2260,0,AL
6,1,2260,0,AL
6,3,2260,0,AL
1,0,10000,0,AL
1,0,10000,0,AL
1,0,10000,0,AL
1,0,10000,0,AL
3,0,2772,0,AL
3,0,2772,0,AL
3,0,2772,0,AL
3,0,2772,0,AL
1,0,1083,0,AL
1,0,1083,0,AL
1,0,1083,0,AL
1,0,1083,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
3,1,4566,0,AL
3,1,4566,0,AL
3,0,4566,0,AL
3,0,4566,0,AL
1,0,0,48,AL
1,0,0,48,AL
1,0,0,48,AL
1,0,2406,0,AL
2,0,1080,0,AL
3,1,7537,0,AL
3,1,7537,0,AL
3,1,7537,0,AL
1,0,3000,0,AL
1,0,3000,0,AL
1,0,3000,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
3,1,3655,0,AL
3,1,3655,0,AL
3,1,3655,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
6,1,6212,0,AL
6,1,6212,0,AL
6,1,6212,0,AL
2,0,400,0,AL
2,0,400,0,AL
1,0,400,0,AL
1,0,0,0,AL
5,3,892,0,AL
5,3,892,0,AL
5,3,892,0,AL
2,0,2833,0,AL
2,0,2833,0,AL
2,0,2833,0,AL
4,1,0,0,AL
4,1,0,0,AL
4,1,0,0,AL
5,3,1667,0,AL
5,0,1667,0,AL
5,3,1667,0,AL
5,0,1667,0,AL
5,3,1667,0,AL
5,0,1667,0,AL
1,0,1296,0,AL
1,0,1296,0,AL
1,0,1296,0,AL
5,3,7417,0,AL
5,3,7417,0,AL
5,3,7417,0,AL
2,0,5875,0,AL
2,0,5875,0,AL
2,0,5875,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
3,1,5100,0,AL
3,0,5100,0,AL
3,1,5100,0,AL
3,0,5100,0,AL
3,1,5100,0,AL
3,0,5100,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
4,0,3365,0,AL
4,0,3365,0,AL
4,0,3365,0,AL
4,2,5800,0,AL
4,2,5800,0,AL
4,2,5800,0,AL
2,1,2100,0,AL
2,1,2100,0,AL
2,1,1650,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
2,1,0,0,AL
2,1,0,0,AL
2,1,0,0,AL
3,1,4078,0,AL
3,1,4078,0,AL
4,1,1016,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
4,3,2600,0,AL
4,3,2600,0,AL
4,3,2600,0,AL
1,0,1039,0,AL
1,0,1039,0,AL
1,0,1039,0,AL
5,2,7151,0,AL
5,2,7151,0,AL
5,2,7151,0,AL
1,0,0,141,AL
1,0,0,141,AL
1,0,0,141,AL
2,0,6367,0,AL
2,0,6362,0,AL
2,0,6362,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
2,0,2896,0,AL
2,0,2960,0,AL
2,0,2960,0,AL
6,2,6798,0,AL
6,2,6798,0,AL
6,2,6798,0,AL
5,3,2948,0,AL
5,0,2948,0,AL
5,3,2948,0,AL
5,0,2948,0,AL
5,3,2948,0,AL
5,0,2948,0,AL
3,1,4676,0,AL
3,0,4676,0,AL
2,1,2078,0,AL
2,1,2078,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
4,1,0,0,AL
4,1,0,0,AL
4,1,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,6532,0,AL
1,0,6476,0,AL
2,0,8143,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
3,1,1167,0,AL
3,0,1167,0,AL
3,1,1167,0,AL
3,0,1167,0,AL
3,1,1167,0,AL
3,0,1167,0,AL
4,2,0,0,AL
4,2,0,0,AL
4,2,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
2,0,4333,0,AL
2,0,4333,0,AL
2,0,4333,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
3,0,0,0,AL
2,0,0,0,AL
1,0,0,0,AL
2,0,0,0,AL
1,0,0,0,AL
2,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
2,0,4333,0,AL
2,0,4333,0,AL
2,0,4333,0,AL
7,1,2357,207,AL
7,1,2357,207,AL
7,1,2357,207,AL
2,0,1562,0,AL
2,0,1562,0,AL
2,0,1562,0,AL
4,3,0,319,AL
4,3,0,319,AL
4,3,268,319,AL
1,0,1567,0,AL
1,0,1567,0,AL
1,0,1567,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
1,0,0,65,AL
1,0,0,65,AL
1,0,0,65,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,5833,0,AL
2,0,5833,0,AL
2,0,5833,0,AL
5,2,0,0,AL
7,6,442,550,AL
5,2,0,0,AL
7,6,442,550,AL
5,2,0,0,AL
7,6,500,550,AL
1,0,0,85,AL
1,0,0,85,AL
1,0,0,85,AL
1,0,4605,0,AL
1,0,4000,0,AL
1,0,4605,0,AL
1,0,4000,0,AL
1,0,4605,0,AL
1,0,4000,0,AL
3,0,0,0,AL
3,0,0,0,AL
3,0,0,0,AL
2,0,2626,0,AL
2,0,2626,0,AL
2,0,2626,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
1,0,1200,152,AL
1,0,1200,152,AL
1,0,1280,152,AL
2,0,1854,0,AL
2,0,1854,0,AL
2,0,1854,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
1,0,0,52,AL
1,0,0,52,AL
1,0,0,52,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
4,2,8800,0,AL
4,2,8800,0,AL
4,2,8800,0,AL
3,0,6140,0,AL
3,0,6140,0,AL
3,0,6140,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,10000,0,AL
2,0,10000,0,AL
2,0,10000,0,AL
4,2,4799,0,AL
4,2,4799,0,AL
4,2,4799,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
3,1,3205,0,AL
3,1,3205,0,AL
3,1,3205,0,AL
1,0,1645,0,AL
1,0,1645,0,AL
1,0,1645,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
3,2,1273,0,AL
3,2,1273,0,AL
3,2,1273,0,AL
2,0,4083,0,AL
2,0,4083,0,AL
2,0,4083,0,AL
2,0,2500,0,AL
2,0,2500,0,AL
2,0,2500,0,AL
4,2,0,156,AL
4,2,0,156,AL
4,2,1440,156,AL
6,2,6650,0,AL
6,2,5750,0,AL
4,2,10825,0,AL
4,2,10825,0,AL
1,0,0,0,AL
1,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,2000,0,AL
2,0,2000,0,AL
2,0,0,0,AL
2,0,0,0,AL
3,1,4466,0,AL
3,1,4466,0,AL
1,0,0,30,AL
1,0,0,30,AL
2,0,0,0,AL
2,0,0,0,AL
4,2,7500,0,AL
4,2,7500,0,AL
4,2,11500,0,AL
4,2,11500,0,AL
3,0,9625,0,AL
3,0,7292,0,AL
3,1,9636,0,AL
3,1,9636,0,AL
2,0,800,0,AL
2,0,800,0,AL
4,2,6951,0,AL
2,0,6831,0,AL
4,2,6617,0,AL
2,0,6831,0,AL
1,0,0,43,AL
1,0,0,43,AL
2,0,3626,0,AL
2,0,3626,0,AL
1,0,0,0,AL
2,0,3186,0,AL
2,0,3186,0,AL
1,0,0,0,AL
2,0,1800,0,AL
2,0,1800,0,AL
2,0,1600,0,AL
2,0,1600,0,AL
4,1,2858,0,AL
5,3,829,290,AL
5,0,829,290,AL
3,1,0,0,AL
5,3,829,290,AL
5,0,829,290,AL
1,0,2858,0,AL
1,0,7200,0,AL
1,0,7200,0,AL
3,2,0,0,AL
3,2,0,0,AL
5,2,1039,0,AL
5,2,1039,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,2984,0,AL
2,0,2984,0,AL
3,0,3291,0,AL
3,0,2165,0,AL
1,0,0,0,AL
1,0,0,0,AL
3,2,1292,62,AL
3,2,1292,62,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,3825,0,AL
2,0,3825,0,AL
2,0,480,0,AL
2,0,480,0,AL
3,2,324,0,AL
3,2,324,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
3,0,6562,0,AL
3,0,6562,0,AL
3,1,7379,0,AL
3,1,7379,0,AL
3,0,0,0,AL
3,0,0,0,AL
6,0,5448,0,AL
6,0,5448,0,AL
2,0,6000,0,AL
2,0,6000,0,AL
1,0,0,0,AL
1,0,0,0,AL
3,0,2317,0,AL
3,0,2317,0,AL
5,2,2598,0,AL
5,2,2598,0,AL
4,1,2600,0,AL
4,1,2600,0,AL
2,0,5990,0,AL
2,0,5990,0,AL
3,0,0,0,AL
3,0,0,0,AL
2,0,10617,0,AL
2,0,10617,0,AL
1,0,0,0,AL
1,0,0,0,AL
4,0,2996,0,AL
4,1,2996,0,AL
4,0,2996,0,AL
4,0,2996,0,AL
4,1,2996,0,AL
4,0,2996,0,AL
3,0,500,0,AL
3,0,500,0,AL
7,5,0,0,AL
7,5,0,0,AL
2,0,1350,0,AL
2,0,1350,0,AL
5,4,400,401,AL
5,4,400,401,AL
7,5,1200,0,AL
7,5,3120,0,AL
3,1,3287,0,AL
3,1,3287,0,AL
2,0,4244,0,AL
2,0,4244,0,AL
2,0,4244,0,AL
2,0,4244,0,AL
2,0,350,0,AL
2,0,350,0,AL
1,0,0,149,AL
1,0,0,149,AL
2,0,442,0,AL
2,0,500,0,AL
2,0,54,0,AL
2,0,54,0,AL
6,2,1200,0,AL
1,0,400,300,AL
6,2,1200,0,AL
1,0,400,300,AL
4,0,7167,0,AL
4,0,7557,0,AL
2,0,0,0,AL
2,0,0,0,AL
4,2,2700,0,AL
4,0,2700,0,AL
4,2,2700,0,AL
4,0,2700,0,AL
2,0,1040,0,AL
2,0,1040,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,1917,0,AL
1,0,1917,0,AL
1,0,0,0,AL
1,0,0,0,AL
3,1,2700,0,AL
3,1,2700,0,AL
2,0,1645,0,AL
2,0,1645,0,AL
1,0,7600,0,AL
1,0,7600,0,AL
2,0,0,0,AL
2,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
1,0,3917,0,AL
1,0,3917,0,AL
6,1,2278,0,AL
6,0,2278,0,AL
6,0,2278,0,AL
6,0,2278,0,AL
6,0,2278,0,AL
6,1,2278,0,AL
6,0,2278,0,AL
6,0,2278,0,AL
6,0,2278,0,AL
6,0,2278,0,AL
2,1,0,0,AL
2,1,0,0,AL
1,0,0,0,AL
4,3,0,400,AL
4,3,0,400,AL
4,3,0,400,AL
4,3,0,400,AL
2,0,556,0,AL
1,0,0,0,AL
2,0,0,109,AL
2,0,0,109,AL
2,0,0,109,AL
2,0,0,109,AL
4,2,3031,0,AL
4,2,3031,0,AL
4,2,3031,0,AL
4,2,3031,0,AL
4,2,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
3,1,5800,0,AL
1,0,0,0,AL
2,0,4167,0,AL
1,0,2598,0,AL
3,1,5283,0,AL
1,0,0,0,AL
4,3,606,0,AL
3,0,0,90,AL
4,0,3132,0,AL
2,0,0,0,AL
2,0,4077,0,AL
1,0,400,0,AL
3,0,2641,0,AL
2,0,0,0,AL
3,1,3569,0,AL
3,0,3569,0,AL
1,0,0,0,AL
3,1,3172,0,AL
3,1,6409,0,AL
3,2,1450,120,AL
3,1,1667,0,AL
1,0,2484,0,AL
1,0,17288,0,AL
2,0,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
2,0,0,0,AL
3,0,0,0,AL
2,0,1080,0,AL
1,0,0,0,AL
2,0,0,0,AL
2,0,4198,0,AL
5,2,2100,393,AL
1,0,0,0,AL
4,0,2425,0,AL
3,0,1350,0,AL
3,2,0,182,AL
1,0,0,0,AL
2,0,1299,0,AL
2,0,0,0,AL
4,0,1386,0,AL
1,0,1792,0,AL
3,1,5783,0,AL
2,0,1386,0,AL
1,0,4583,0,AL
4,0,7509,0,AL
1,0,8083,0,AL
3,1,3526,0,AL
1,0,0,0,AL
3,1,8334,0,AL
2,0,3826,0,AL
2,0,3826,0,AL
3,0,3240,0,AL
1,0,0,0,AL
4,3,1299,239,AL
2,0,0,0,AL
2,0,3950,0,AL
6,3,8660,0,AL
1,0,0,0,AL
2,0,800,0,AL
1,0,1200,0,AL
4,3,0,0,AL
3,1,1350,0,AL
2,1,1600,0,AL
3,1,4583,0,AL
2,0,0,0,AL
3,1,400,0,AL
1,0,0,0,AL
4,2,0,0,AL
1,0,0,0,AL
1,0,0,0,AL
1,0,0,149,AL
1,0,468,0,AL
2,0,4833,0,AL
1,0,0,10,AL
2,0,0,0,AL
2,0,1386,0,AL
1,0,0,0,AL
4,2,6072,0,AL
2,0,7500,0,AL
2,0,0,0,AL
4,1,5590,0,AL
2,0,5832,0,AL
1,0,0,0,AL
3,0,1472,0,AL
5,3,500,320,AL
5,3,400,320,AL
5,1,2917,0,AL
5,1,2917,0,AL
2,0,0,0,AL
2,0,0,0,AL
2,0,0,0,AL
3,1,0,120,AR
3,1,864,120,AR
3,1,864,120,AR
1,0,900,0,AR
1,0,900,0,AR
3,0,356,0,AR
3,0,356,0,AR
5,3,4311,0,AR
5,3,4311,0,AR
1,0,3200,0,AR
1,0,3200,0,AR
4,0,9830,0,AR
4,0,9830,0,AR
2,0,2152,0,AR
2,0,2152,0,AR
3,1,1800,0,AR
3,1,4968,0,AR
3,1,5324,0,AR
3,1,5324,0,AR
1,0,0,0,AR
1,0,0,0,AR
2,0,0,0,AR
2,0,0,0,AR
3,1,1350,0,AR
3,1,1640,0,AR
2,0,0,0,AR
2,0,0,0,AR
1,0,4417,0,AR
1,0,4417,0,AR
2,0,1725,0,AR
2,0,1725,0,AR
4,0,14216,0,AR
4,0,14216,0,AR
3,0,6383,0,AR
3,0,5083,0,AR
1,0,0,90,AR
1,0,0,90,AR
2,0,4883,0,AR
2,0,4883,0,AR
4,3,982,155,AR
4,3,982,155,AR
1,0,0,15,AR
1,0,0,15,AR
1,0,0,0,AR
3,0,2272,0,AR
3,0,2272,0,AR
3,0,2272,0,AR
1,0,0,0,AR
3,0,2732,0,AR
3,0,2732,0,AR
3,0,2732,0,AR
3,2,866,0,AR
3,2,866,0,AR
3,2,1801,0,AR
3,2,1801,0,AR
1,0,0,0,AR
1,0,0,0,AR
1,0,532,0,AR
1,0,532,0,AR
2,0,3300,0,AR
2,0,3300,0,AR
4,2,3100,0,AR
4,2,2250,0,AR
2,0,1811,0,AR
2,0,1851,0,AR
2,0,6225,0,AR
2,0,6225,0,AR
1,0,1732,0,AR
1,0,1732,0,AR
2,0,3333,0,AR
2,0,3333,0,AR
1,0,0,0,AR
2,0,0,0,AR
1,0,0,0,AR
2,0,0,0,AR
5,3,0,352,AR
5,3,0,352,AR
2,0,0,183,AR
2,0,0,183,AR
1,0,0,0,AR
1,0,0,0,AR
2,0,1800,0,AR
2,0,1800,0,AR
2,0,2576,0,AR
2,0,2576,0,AR
2,0,4411,0,AR
2,0,4411,0,AR
1,0,0,0,AR
1,0,0,0,AR
1,0,0,0,AR
1,0,0,0,AR
2,0,0,0,AR
2,0,0,0,AR
2,0,3318,0,AR
2,0,3318,0,AR
4,2,7760,0,AR
4,2,7760,0,AR
2,0,4166,0,AR
2,0,3334,0,AR
2,0,0,0,AR
2,0,0,0,AR
4,2,2652,0,AR
4,2,2652,0,AR
6,3,8292,0,AR
6,3,9572,0,AR
5,2,1800,0,AR
5,2,1800,0,AR
5,3,2704,0,AR
5,3,2704,0,AR
5,3,2704,0,AR
5,3,2704,0,AR
2,0,12500,0,AR
2,0,12500,0,AR
2,0,0,0,AR
2,0,0,0,AR
2,0,1000,0,AR
2,0,0,0,AR
2,0,0,0,AR
2,0,0,0,AR
2,0,0,0,AR
2,1,1089,0,AR
2,1,1089,0,AR
2,1,1089,0,AR
2,1,1089,0,AR
2,0,37750,0,AR
2,0,37750,0,AR
2,0,37750,0,AR
2,0,37750,0,AR
2,0,0,0,AR
2,0,0,0,AR
2,0,0,0,AR
2,0,0,0,AR
1,0,0,0,AR
1,0,0,0,AR
1,0,0,0,AR
1,0,0,0,AR
1,0,12528,0,AR
1,0,12528,0,AR
1,0,12528,0,AR
1,0,13728,0,AR
1,0,0,0,AR
1,0,0,0,AR
1,0,0,0,AR
1,0,0,0,AR
1,0,2500,0,AR
1,0,2500,0,AR
1,0,2500,0,AR
1,0,2500,0,AR
2,0,941,0,AR
2,0,941,0,AR
2,0,0,0,AR
2,0,0,0,AR
2,0,0,0,AR
2,0,0,0,AR
2,0,0,0,AR
2,0,0,0,AR
2,0,8809,0,AR
2,0,8809,0,AR
2,0,4209,0,AR
2,0,4209,0,AR
2,0,4209,0,AR
2,0,4209,0,AR
2,0,4209,0,AR
2,0,4209,0,AR
1,0,0,0,AR
1,0,0,0,AR
1,0,0,0,AR
1,0,0,0,AR
1,0,1555,0,AR
1,0,1555,0,AR
1,0,1555,0,AR
1,0,1555,0,AR
6,2,3059,0,AR
6,2,3059,0,AR
6,2,1559,0,AR
6,2,1559,0,AR
3,1,7417,0,AR
3,1,7417,0,AR
3,1,7417,0,AR
3,1,7417,0,AR
2,0,0,0,AR
2,0,0,0,AR
2,0,0,0,AR
2,0,0,0,AR
3,1,1000,40,AR
3,1,1000,40,AR
3,1,1000,40,AR
3,1,1000,40,AR
1,0,2165,0,AR
1,0,2165,0,AR
1,0,2165,0,AR
1,0,2165,0,AR
3,2,1885,0,AR
3,2,1885,0,AR
3,2,1885,0,AR
