"student","week","attendance","grade","Roster","TA","attendance_prior","Reason","noclass","affectedweek","noprior"
13,5,1,25.4663144782994,1,"ThatGuy",0,"",0,0,1
13,6,1,25.0327436511818,1,"ThatGuy",1,"",0,0,0
13,7,1,25.1257455193278,1,"ThatGuy",1,"",0,0,0
13,8,0,24.219517076471,1,"ThatGuy",1,"",0,0,0
13,9,1,23.7466351796939,1,"ThatGuy",0,"",0,1,1
81,1,1,23.8460665603536,5,"ThatOtherGuy",NA,"",0,0,NA
81,10,1,24.7761448766749,5,"ThatOtherGuy",1,"",0,0,0
81,11,1,23.7427540001202,5,"ThatOtherGuy",1,"",0,1,0
81,2,0,25.1089221695695,5,"ThatOtherGuy",1,"Holiday",1,1,0
81,3,1,23.3355281199795,5,"ThatOtherGuy",0,"",0,0,1
81,4,1,23.7187564672791,5,"ThatOtherGuy",1,"",0,1,0
81,5,1,25.2749403405557,5,"ThatOtherGuy",1,"",0,0,0
81,6,1,23.1591184042283,5,"ThatOtherGuy",1,"",0,0,0
81,7,1,24.7659110126706,5,"ThatOtherGuy",1,"",0,0,0
81,8,1,25.427480872985,5,"ThatOtherGuy",1,"",0,0,0
81,9,1,24.003188998165,5,"ThatOtherGuy",1,"",0,1,0
170,1,1,24.5116817257529,2,"ThatOtherGuy",NA,"",0,0,NA
170,10,1,25.3260782824862,2,"ThatOtherGuy",1,"",0,0,0
170,11,1,22.0403843289135,2,"ThatOtherGuy",1,"",0,1,0
170,2,1,22.4746135744891,2,"ThatOtherGuy",1,"",0,1,0
170,3,NA,21.7685158403071,2,"ThatOtherGuy",1,"MissingData",0,0,0
170,4,1,21.8768077460709,2,"ThatOtherGuy",0,"",0,1,1
170,5,1,23.7353976234283,2,"ThatOtherGuy",1,"",0,0,0
170,6,1,16.8746881391947,2,"ThatOtherGuy",1,"",0,0,0
170,7,1,23.3549816803761,2,"ThatOtherGuy",1,"",0,0,0
170,8,1,23.7242874577427,2,"ThatOtherGuy",1,"",0,0,0
170,9,1,21.44068417192,2,"ThatOtherGuy",1,"",0,1,0
87,1,1,21.1215229972246,6,"ThatGuy",NA,"",0,0,NA
87,10,0,0.976275558247572,6,"ThatGuy",0,"",0,0,1
87,11,0,0.458752964581248,6,"ThatGuy",0,"Holiday",1,1,1
87,2,0,21.4579657302053,6,"ThatGuy",1,"",0,1,0
87,3,0,23.2881796445215,6,"ThatGuy",0,"",0,0,1
87,4,0,14.5263396596478,6,"ThatGuy",0,"",0,1,1
87,5,0,15.219930681272,6,"ThatGuy",0,"",0,0,1
87,6,0,16.3877457824639,6,"ThatGuy",0,"",0,0,1
87,7,0,15.9453241864741,6,"ThatGuy",0,"",0,0,1
87,8,0,14.6850934574053,6,"ThatGuy",0,"",0,0,1
87,9,0,14.4858376030874,6,"ThatGuy",0,"Canceled",1,1,1
70,1,1,24.7299671608957,5,"ThatOtherGuy",NA,"",0,0,NA
70,10,1,24.7606848085967,5,"ThatOtherGuy",1,"",0,0,0
70,11,1,19.3381392901928,5,"ThatOtherGuy",1,"",0,1,0
70,2,0,21.4988379324747,5,"ThatOtherGuy",1,"Holiday",1,1,0
70,3,1,21.9893301259205,5,"ThatOtherGuy",0,"",0,0,1
70,4,1,16.0530544448653,5,"ThatOtherGuy",1,"",0,1,0
70,5,1,21.5656585039145,5,"ThatOtherGuy",1,"",0,0,0
70,6,1,18.2025961707402,5,"ThatOtherGuy",1,"",0,0,0
70,7,1,23.6801150246043,5,"ThatOtherGuy",1,"",0,0,0
70,8,1,23.6784997339233,5,"ThatOtherGuy",1,"",0,0,0
70,9,1,20.9554297531466,5,"ThatOtherGuy",1,"",0,1,0
161,1,1,21.9046812656885,5,"ThatOtherGuy",NA,"",0,0,NA
161,10,1,23.7860779048211,5,"ThatOtherGuy",1,"",0,0,0
161,11,1,19.9160307854419,5,"ThatOtherGuy",1,"",0,1,0
161,2,0,22.5213353099423,5,"ThatOtherGuy",1,"Holiday",1,1,0
161,3,1,23.5774764144793,5,"ThatOtherGuy",0,"",0,0,1
161,4,1,20.997129309106,5,"ThatOtherGuy",1,"",0,1,0
161,5,1,21.4518060909416,5,"ThatOtherGuy",1,"",0,0,0
161,6,1,18.5987589812552,5,"ThatOtherGuy",1,"",0,0,0
161,7,1,24.5468255215697,5,"ThatOtherGuy",1,"",0,0,0
161,8,1,21.7214544253367,5,"ThatOtherGuy",1,"",0,0,0
161,9,1,23.6202859898179,5,"ThatOtherGuy",1,"",0,1,0
11,1,1,22.2754108896245,4,"ThatGuy",NA,"",0,0,NA
11,10,1,23.5485946618264,4,"ThatGuy",1,"",0,0,0
11,11,0,25.2001466400996,4,"ThatGuy",1,"",0,1,0
11,2,0,22.4897400425301,4,"ThatGuy",1,"Holiday",1,1,0
11,3,1,24.4854799769404,4,"ThatGuy",0,"",0,0,1
11,4,1,20.21443883759,4,"ThatGuy",1,"",0,1,0
11,5,1,23.65931092133,4,"ThatGuy",1,"",0,0,0
11,6,1,23.6366172789048,4,"ThatGuy",1,"",0,0,0
11,7,0,20.5429426367589,4,"ThatGuy",1,"",0,0,0
11,8,1,23.3939080817949,4,"ThatGuy",0,"",0,0,1
11,9,1,23.4298308913675,4,"ThatGuy",1,"",0,1,0
123,1,1,21.7220086555486,4,"ThatGuy",NA,"",0,0,NA
123,10,0,20.8578199896685,4,"ThatGuy",1,"",0,0,0
123,11,0,16.1119316688311,4,"ThatGuy",0,"",0,1,1
123,2,0,-0.866071288944023,4,"ThatGuy",1,"Holiday",1,1,0
123,3,0,-0.129388584207389,4,"ThatGuy",0,"",0,0,1
123,4,1,-0.601018495835987,4,"ThatGuy",0,"",0,1,1
123,5,1,15.713145661204,4,"ThatGuy",1,"",0,0,0
123,6,1,14.7203012140527,4,"ThatGuy",1,"",0,0,0
123,7,0,0.736996474914825,4,"ThatGuy",1,"",0,0,0
123,8,0,-0.0510374438539769,4,"ThatGuy",0,"",0,0,1
123,9,1,-0.249291420132712,4,"ThatGuy",0,"",0,1,1
12,1,1,8.93932538216664,6,"ThatGuy",NA,"",0,0,NA
12,10,0,-0.29048355972545,6,"ThatGuy",0,"",0,0,1
12,11,0,-0.289057935590069,6,"ThatGuy",0,"Holiday",1,1,1
12,2,0,16.5372999034224,6,"ThatGuy",1,"",0,1,0
12,3,1,15.7212350034676,6,"ThatGuy",0,"",0,0,1
12,4,0,17.8182102230226,6,"ThatGuy",1,"",0,1,0
12,5,1,14.6101549225326,6,"ThatGuy",0,"",0,0,1
12,6,0,6.58310429006567,6,"ThatGuy",1,"",0,0,0
12,7,0,0.0396618238078831,6,"ThatGuy",0,"",0,0,1
12,8,0,0.257322760788266,6,"ThatGuy",0,"",0,0,1
12,9,0,1.58136632034133,6,"ThatGuy",0,"Canceled",1,1,1
186,1,1,24.9823900173819,3,"ThatOtherGuy",NA,"",0,0,NA
186,10,1,23.5269995323658,3,"ThatOtherGuy",1,"",0,0,0
186,11,1,23.0660625305974,3,"ThatOtherGuy",1,"",0,1,0
186,2,0,23.2262259766298,3,"ThatOtherGuy",1,"Holiday",1,1,0
186,3,1,23.7965825960343,3,"ThatOtherGuy",0,"",0,0,1
186,4,1,22.1970825825107,3,"ThatOtherGuy",1,"",0,1,0
186,5,1,24.3045462013854,3,"ThatOtherGuy",1,"",0,0,0
186,6,1,22.9328002693059,3,"ThatOtherGuy",1,"",0,0,0
186,7,1,24.7654202543982,3,"ThatOtherGuy",1,"",0,0,0
186,8,1,22.7424503404151,3,"ThatOtherGuy",1,"",0,0,0
186,9,1,22.8135236577694,3,"ThatOtherGuy",1,"",0,1,0
41,1,1,19.1281694746724,5,"ThatOtherGuy",NA,"",0,0,NA
41,10,1,25.1186016953361,5,"ThatOtherGuy",1,"",0,0,0
41,11,1,18.1821626504548,5,"ThatOtherGuy",1,"",0,1,0
41,2,0,17.9913338310704,5,"ThatOtherGuy",1,"Holiday",1,1,0
41,3,1,16.1022862426453,5,"ThatOtherGuy",0,"",0,0,1
41,4,0,18.3374591776177,5,"ThatOtherGuy",1,"",0,1,0
41,5,0,20.0335967612952,5,"ThatOtherGuy",0,"",0,0,1
41,6,1,21.565790199574,5,"ThatOtherGuy",0,"",0,0,1
41,7,0,23.9263799345674,5,"ThatOtherGuy",1,"",0,0,0
41,8,0,23.7682007900803,5,"ThatOtherGuy",0,"",0,0,1
41,9,1,23.6686127740609,5,"ThatOtherGuy",0,"",0,1,1
135,1,1,23.7147753274606,3,"ThatOtherGuy",NA,"",0,0,NA
135,10,0,25.4234831584319,3,"ThatOtherGuy",0,"",0,0,1
135,11,0,23.3062611762904,3,"ThatOtherGuy",0,"",0,1,1
135,2,0,23.1492483526115,3,"ThatOtherGuy",1,"Holiday",1,1,0
135,3,0,22.0552030034233,3,"ThatOtherGuy",0,"",0,0,1
135,4,0,24.0719654540287,3,"ThatOtherGuy",0,"",0,1,1
135,5,1,-1.08990586238758,3,"ThatOtherGuy",0,"",0,0,1
135,6,0,22.2224560308859,3,"ThatOtherGuy",1,"",0,0,0
135,7,0,9.80317304622018,3,"ThatOtherGuy",0,"",0,0,1
135,8,0,18.4167855617093,3,"ThatOtherGuy",0,"",0,0,1
135,9,0,25.0898613757087,3,"ThatOtherGuy",0,"",0,1,1
143,1,1,22.5099155343576,1,"ThatGuy",NA,"",0,0,NA
143,10,1,25.4475657734452,1,"ThatGuy",0,"",0,0,1
143,11,1,14.8570700055012,1,"ThatGuy",1,"",0,1,0
143,2,1,21.9911832768749,1,"ThatGuy",1,"",0,1,0
143,3,0,23.8981531440767,1,"ThatGuy",1,"",0,0,0
143,4,0,24.553786318134,1,"ThatGuy",0,"Canceled",1,1,1
143,5,1,22.7828344242411,1,"ThatGuy",0,"",0,0,1
143,6,0,24.6058284364091,1,"ThatGuy",1,"",0,0,0
143,7,1,23.0633764446325,1,"ThatGuy",0,"",0,0,1
143,8,0,23.3277953388221,1,"ThatGuy",1,"",0,0,0
143,9,0,-0.201709426945851,1,"ThatGuy",0,"",0,1,1
74,1,1,5.0309791905434,1,"ThatGuy",NA,"",0,0,NA
74,10,0,-0.0922758154744639,1,"ThatGuy",1,"",0,0,0
74,11,0,0.0499698247190889,1,"ThatGuy",0,"",0,1,1
74,2,1,16.2774272478892,1,"ThatGuy",1,"",0,1,0
74,3,0,3.24273070040771,1,"ThatGuy",1,"",0,0,0
74,4,0,21.8832264088588,1,"ThatGuy",0,"Canceled",1,1,1
74,5,1,-0.381937891659764,1,"ThatGuy",0,"",0,0,1
74,6,1,-0.974091824234687,1,"ThatGuy",1,"",0,0,0
74,7,0,17.262107815698,1,"ThatGuy",1,"",0,0,0
74,8,0,0.141525631080205,1,"ThatGuy",0,"",0,0,1
74,9,1,-0.670317033015281,1,"ThatGuy",0,"",0,1,1
156,1,1,0.037778359169944,1,"ThatGuy",NA,"",0,0,NA
156,10,1,19.291305063726,1,"ThatGuy",1,"",0,0,0
156,11,1,18.7431081192123,1,"ThatGuy",1,"",0,1,0
156,2,1,0.954704674817372,1,"ThatGuy",1,"",0,1,0
156,3,0,20.6995351040304,1,"ThatGuy",1,"",0,0,0
156,4,0,17.2735018267408,1,"ThatGuy",0,"Canceled",1,1,1
156,5,1,19.5043803275656,1,"ThatGuy",0,"",0,0,1
156,6,1,11.0059734138865,1,"ThatGuy",1,"",0,0,0
156,7,1,22.410304598197,1,"ThatGuy",1,"",0,0,0
156,8,1,18.291139105369,1,"ThatGuy",1,"",0,0,0
156,9,1,20.2299960697716,1,"ThatGuy",1,"",0,1,0
67,1,1,15.1102938966918,2,"ThatOtherGuy",NA,"",0,0,NA
67,10,1,17.3052558142068,2,"ThatOtherGuy",1,"",0,0,0
67,11,1,22.5487362990454,2,"ThatOtherGuy",1,"",0,1,0
67,2,1,16.9592716669968,2,"ThatOtherGuy",1,"",0,1,0
67,3,NA,22.0378829197042,2,"ThatOtherGuy",1,"MissingData",0,0,0
67,4,1,10.4866740120805,2,"ThatOtherGuy",0,"",0,1,1
67,5,1,13.4308428693389,2,"ThatOtherGuy",1,"",0,0,0
67,6,1,18.1659870578026,2,"ThatOtherGuy",1,"",0,0,0
67,7,1,20.7501393290309,2,"ThatOtherGuy",1,"",0,0,0
67,8,1,25.0231673421405,2,"ThatOtherGuy",1,"",0,0,0
67,9,1,16.0382594339952,2,"ThatOtherGuy",1,"",0,1,0
204,1,1,23.0844978350746,4,"ThatGuy",NA,"",0,0,NA
204,10,0,25.3309336105452,4,"ThatGuy",0,"",0,0,1
204,11,0,21.3843434279694,4,"ThatGuy",0,"",0,1,1
204,2,0,22.2348087498578,4,"ThatGuy",1,"Holiday",1,1,0
204,3,1,21.4631390724945,4,"ThatGuy",0,"",0,0,1
204,4,1,23.2746210742676,4,"ThatGuy",1,"",0,1,0
204,5,1,20.1577933450603,4,"ThatGuy",1,"",0,0,0
204,6,0,15.8623090308436,4,"ThatGuy",1,"",0,0,0
204,7,0,22.1850183643262,4,"ThatGuy",0,"",0,0,1
204,8,0,9.40048975015531,4,"ThatGuy",0,"",0,0,1
204,9,0,22.6526068675611,4,"ThatGuy",0,"",0,1,1
175,1,1,23.7816932345694,4,"ThatGuy",NA,"",0,0,NA
175,10,1,24.4417704580986,4,"ThatGuy",1,"",0,0,0
175,11,1,23.6424575005551,4,"ThatGuy",1,"",0,1,0
175,2,0,23.1467487514143,4,"ThatGuy",1,"Holiday",1,1,0
175,3,1,22.2328368078109,4,"ThatGuy",0,"",0,0,1
175,4,1,21.7283475077861,4,"ThatGuy",1,"",0,1,0
175,5,0,24.7873834190663,4,"ThatGuy",1,"",0,0,0
175,6,1,20.0257642236779,4,"ThatGuy",0,"",0,0,1
175,7,1,25.090372600709,4,"ThatGuy",1,"",0,0,0
175,8,1,18.7601632233452,4,"ThatGuy",1,"",0,0,0
175,9,1,21.5432014357443,4,"ThatGuy",1,"",0,1,0
103,1,1,24.3981554973872,4,"ThatGuy",NA,"",0,0,NA
103,10,0,25.2190340842023,4,"ThatGuy",0,"",0,0,1
103,11,1,25.0937297184801,4,"ThatGuy",0,"",0,1,1
103,2,0,21.6040444938342,4,"ThatGuy",1,"Holiday",1,1,0
103,3,1,23.6184431067583,4,"ThatGuy",0,"",0,0,1
103,4,1,25.0059217079099,4,"ThatGuy",1,"",0,1,0
103,5,1,24.616521477992,4,"ThatGuy",1,"",0,0,0
103,6,1,22.4997275230377,4,"ThatGuy",1,"",0,0,0
103,7,0,22.456198396159,4,"ThatGuy",1,"",0,0,0
103,8,0,25.1815069659786,4,"ThatGuy",0,"",0,0,1
103,9,0,24.2397472390663,4,"ThatGuy",0,"",0,1,1
177,1,1,24.8823023234205,2,"ThatOtherGuy",NA,"",0,0,NA
177,10,0,23.3580560168812,2,"ThatOtherGuy",0,"",0,0,1
177,11,0,15.6836098852972,2,"ThatOtherGuy",0,"",0,1,1
177,2,1,20.4377424457343,2,"ThatOtherGuy",1,"",0,1,0
177,3,NA,21.471209013749,2,"ThatOtherGuy",1,"MissingData",0,0,0
177,4,0,21.248212129147,2,"ThatOtherGuy",0,"",0,1,1
177,5,1,19.3619972380398,2,"ThatOtherGuy",0,"",0,0,1
177,6,0,16.6437257931894,2,"ThatOtherGuy",1,"",0,0,0
177,7,0,23.5235536597604,2,"ThatOtherGuy",0,"",0,0,1
177,8,1,20.5503786072477,2,"ThatOtherGuy",0,"",0,0,1
177,9,0,17.8764199224858,2,"ThatOtherGuy",1,"",0,1,0
193,1,1,22.2734846681395,6,"ThatGuy",NA,"",0,0,NA
193,10,1,24.0226187329542,6,"ThatGuy",0,"",0,0,1
193,11,0,25.0249088976769,6,"ThatGuy",1,"Holiday",1,1,0
193,2,1,15.9339397718375,6,"ThatGuy",1,"",0,1,0
193,3,1,23.0046129031539,6,"ThatGuy",1,"",0,0,0
193,4,1,22.1916678629118,6,"ThatGuy",1,"",0,1,0
193,5,0,23.8798548296872,6,"ThatGuy",1,"",0,0,0
193,6,1,23.7697022943446,6,"ThatGuy",0,"",0,0,1
193,7,1,23.9830811251625,6,"ThatGuy",1,"",0,0,0
193,8,0,21.7196363282731,6,"ThatGuy",1,"",0,0,0
193,9,0,23.1298438161947,6,"ThatGuy",0,"Canceled",1,1,1
52,1,1,23.6897817654593,2,"ThatOtherGuy",NA,"",0,0,NA
52,10,0,24.9582524801292,2,"ThatOtherGuy",0,"",0,0,1
52,11,0,24.6053241621858,2,"ThatOtherGuy",0,"",0,1,1
52,2,0,23.8360305155918,2,"ThatOtherGuy",1,"",0,1,0
52,3,NA,24.0777802127792,2,"ThatOtherGuy",0,"MissingData",0,0,1
52,4,1,25.3511664853551,2,"ThatOtherGuy",0,"",0,1,1
52,5,1,23.8057661201148,2,"ThatOtherGuy",1,"",0,0,0
52,6,1,19.0948267617105,2,"ThatOtherGuy",1,"",0,0,0
52,7,1,17.9874950181161,2,"ThatOtherGuy",1,"",0,0,0
52,8,0,17.8190627860363,2,"ThatOtherGuy",1,"",0,0,0
52,9,0,25.1568441287252,2,"ThatOtherGuy",0,"",0,1,1
132,1,1,23.188965916754,5,"ThatOtherGuy",NA,"",0,0,NA
132,10,1,23.0670595798324,5,"ThatOtherGuy",1,"",0,0,0
132,11,1,18.9071553896589,5,"ThatOtherGuy",1,"",0,1,0
132,2,0,23.484274919295,5,"ThatOtherGuy",1,"Holiday",1,1,0
132,3,1,21.5866314614792,5,"ThatOtherGuy",0,"",0,0,1
132,4,1,22.4813203778795,5,"ThatOtherGuy",1,"",0,1,0
132,5,0,20.8484205612833,5,"ThatOtherGuy",1,"",0,0,0
132,6,1,20.662291880707,5,"ThatOtherGuy",0,"",0,0,1
132,7,0,25.5255699109277,5,"ThatOtherGuy",1,"",0,0,0
132,8,1,24.1136784861931,5,"ThatOtherGuy",0,"",0,0,1
132,9,1,21.0498277748226,5,"ThatOtherGuy",1,"",0,1,0
207,1,1,22.4016276643571,2,"ThatOtherGuy",NA,"",0,0,NA
207,10,0,24.484905865419,2,"ThatOtherGuy",0,"",0,0,1
207,11,0,23.9477438584676,2,"ThatOtherGuy",0,"",0,1,1
207,2,1,21.6024029053987,2,"ThatOtherGuy",1,"",0,1,0
207,3,NA,24.3322382381824,2,"ThatOtherGuy",1,"MissingData",0,0,0
207,4,1,23.8821624265646,2,"ThatOtherGuy",0,"",0,1,1
207,5,1,17.6483651094141,2,"ThatOtherGuy",1,"",0,0,0
207,6,1,23.2549187263036,2,"ThatOtherGuy",1,"",0,0,0
207,7,1,21.6117234382035,2,"ThatOtherGuy",1,"",0,0,0
207,8,1,20.9092080536824,2,"ThatOtherGuy",1,"",0,0,0
207,9,0,23.86591949119,2,"ThatOtherGuy",1,"",0,1,0
146,1,1,21.6964479465198,6,"ThatGuy",NA,"",0,0,NA
146,10,1,22.9509937881191,6,"ThatGuy",0,"",0,0,1
146,11,0,23.9632991027369,6,"ThatGuy",1,"Holiday",1,1,0
146,2,1,23.4272657974855,6,"ThatGuy",1,"",0,1,0
146,3,1,16.9890078635104,6,"ThatGuy",1,"",0,0,0
146,4,1,23.6304329940875,6,"ThatGuy",1,"",0,1,0
146,5,0,24.4163575172266,6,"ThatGuy",1,"",0,0,0
146,6,1,23.6762776034911,6,"ThatGuy",0,"",0,0,1
146,7,1,24.9610303227901,6,"ThatGuy",1,"",0,0,0
146,8,1,20.9290631682073,6,"ThatGuy",1,"",0,0,0
146,9,0,23.5283079296323,6,"ThatGuy",1,"Canceled",1,1,0
148,1,1,23.0733032770681,2,"ThatOtherGuy",NA,"",0,0,NA
148,10,0,0.357765002680279,2,"ThatOtherGuy",1,"",0,0,0
148,11,0,-0.0523005544372237,2,"ThatOtherGuy",0,"",0,1,1
148,2,0,23.4251595114939,2,"ThatOtherGuy",1,"",0,1,0
148,3,NA,20.0195036485431,2,"ThatOtherGuy",0,"MissingData",0,0,1
148,4,0,23.5605854701853,2,"ThatOtherGuy",0,"",0,1,1
148,5,1,24.3601131057543,2,"ThatOtherGuy",0,"",0,0,1
148,6,0,17.8236382690674,2,"ThatOtherGuy",1,"",0,0,0
148,7,0,24.7541739555091,2,"ThatOtherGuy",0,"",0,0,1
148,8,1,24.0707944178616,2,"ThatOtherGuy",0,"",0,0,1
148,9,1,21.886088032066,2,"ThatOtherGuy",1,"",0,1,0
133,1,1,24.6459426226791,3,"ThatOtherGuy",NA,"",0,0,NA
133,10,1,24.1610717830368,3,"ThatOtherGuy",1,"",0,0,0
133,11,1,23.3735907381771,3,"ThatOtherGuy",1,"",0,1,0
133,2,0,17.1230616986305,3,"ThatOtherGuy",1,"Holiday",1,1,0
133,3,1,23.5667872826935,3,"ThatOtherGuy",0,"",0,0,1
133,4,0,20.3319675102468,3,"ThatOtherGuy",1,"",0,1,0
133,5,1,24.7917930916154,3,"ThatOtherGuy",0,"",0,0,1
133,6,1,23.5718236096023,3,"ThatOtherGuy",1,"",0,0,0
133,7,1,23.8643436023195,3,"ThatOtherGuy",1,"",0,0,0
133,8,1,21.7954325813031,3,"ThatOtherGuy",1,"",0,0,0
133,9,1,23.7454703049171,3,"ThatOtherGuy",1,"",0,1,0
2,1,1,24.3620125956503,1,"ThatGuy",NA,"",0,0,NA
2,10,1,24.1423815396034,1,"ThatGuy",0,"",0,0,1
2,11,1,22.3908399682616,1,"ThatGuy",1,"",0,1,0
2,2,1,23.6106082366481,1,"ThatGuy",1,"",0,1,0
2,3,1,21.6562118432579,1,"ThatGuy",1,"",0,0,0
2,4,0,22.000547582008,1,"ThatGuy",1,"Canceled",1,1,0
2,5,0,24.1785510218868,1,"ThatGuy",0,"",0,0,1
2,6,1,21.8168482350708,1,"ThatGuy",0,"",0,0,1
2,7,0,23.7879139046209,1,"ThatGuy",1,"",0,0,0
2,8,1,19.6838592267891,1,"ThatGuy",0,"",0,0,1
2,9,0,24.1690763119136,1,"ThatGuy",1,"",0,1,0
7,1,1,12.0171035844582,6,"ThatGuy",NA,"",0,0,NA
7,10,0,0.181967218692018,6,"ThatGuy",0,"",0,0,1
7,11,0,0.0184578174883701,6,"ThatGuy",0,"Holiday",1,1,1
7,2,0,16.8184853245181,6,"ThatGuy",1,"",0,1,0
7,3,0,12.7413546394549,6,"ThatGuy",0,"",0,0,1
7,4,0,10.376859123188,6,"ThatGuy",0,"",0,1,1
7,5,0,18.1552590329609,6,"ThatGuy",0,"",0,0,1
7,6,0,0.616459479041414,6,"ThatGuy",0,"",0,0,1
7,7,0,0.304308106621062,6,"ThatGuy",0,"",0,0,1
7,8,0,0.734533366750592,6,"ThatGuy",0,"",0,0,1
7,9,0,0.899918787680794,6,"ThatGuy",0,"Canceled",1,1,1
105,1,1,0.0529743915345312,3,"ThatOtherGuy",NA,"",0,0,NA
105,10,1,25.2598948432655,3,"ThatOtherGuy",1,"",0,0,0
105,11,0,24.2475073685606,3,"ThatOtherGuy",1,"",0,1,0
105,2,0,19.2098995311873,3,"ThatOtherGuy",1,"Holiday",1,1,0
105,3,1,-0.683677683290757,3,"ThatOtherGuy",0,"",0,0,1
105,4,1,22.6326462127089,3,"ThatOtherGuy",1,"",0,1,0
105,5,1,24.6082572992275,3,"ThatOtherGuy",1,"",0,0,0
105,6,1,23.0751999487645,3,"ThatOtherGuy",1,"",0,0,0
105,7,1,23.4644800842646,3,"ThatOtherGuy",1,"",0,0,0
105,8,1,18.5531664806999,3,"ThatOtherGuy",1,"",0,0,0
105,9,1,24.7429049020479,3,"ThatOtherGuy",1,"",0,1,0
196,1,1,23.2177947003167,1,"ThatGuy",NA,"",0,0,NA
196,10,1,19.7831264152383,1,"ThatGuy",0,"",0,0,1
196,11,1,22.4956352668766,1,"ThatGuy",1,"",0,1,0
196,2,1,22.6590202194186,1,"ThatGuy",1,"",0,1,0
196,3,1,21.8821661084077,1,"ThatGuy",1,"",0,0,0
196,4,0,25.3134001528226,1,"ThatGuy",1,"Canceled",1,1,0
196,5,1,23.4241652941138,1,"ThatGuy",0,"",0,0,1
196,6,1,22.889568444535,1,"ThatGuy",1,"",0,0,0
196,7,1,22.9107464301214,1,"ThatGuy",1,"",0,0,0
196,8,1,24.1162641602767,1,"ThatGuy",1,"",0,0,0
196,9,0,22.8084743166952,1,"ThatGuy",1,"",0,1,0
1,1,1,24.0711047040388,1,"ThatGuy",NA,"",0,0,NA
1,10,1,24.6152433668153,1,"ThatGuy",1,"",0,0,0
1,11,0,25.2050653909963,1,"ThatGuy",1,"",0,1,0
1,2,1,24.5995655600794,1,"ThatGuy",1,"",0,1,0
1,3,1,24.9297338929036,1,"ThatGuy",1,"",0,0,0
1,4,0,25.7799910824436,1,"ThatGuy",1,"Canceled",1,1,0
1,5,1,25.3416423325748,1,"ThatGuy",0,"",0,0,1
1,6,1,23.8324103176084,1,"ThatGuy",1,"",0,0,0
1,7,1,24.742960642563,1,"ThatGuy",1,"",0,0,0
1,8,1,25.0330701794718,1,"ThatGuy",1,"",0,0,0
1,9,1,24.2411178443904,1,"ThatGuy",1,"",0,1,0
176,1,1,24.2406360932126,4,"ThatGuy",NA,"",0,0,NA
176,10,1,24.5631047520458,4,"ThatGuy",1,"",0,0,0
176,11,1,22.8206494056149,4,"ThatGuy",1,"",0,1,0
176,2,0,22.8534342837072,4,"ThatGuy",1,"Holiday",1,1,0
176,3,1,22.7343666625245,4,"ThatGuy",0,"",0,0,1
176,4,1,23.8947871598591,4,"ThatGuy",1,"",0,1,0
176,5,0,24.9310692020503,4,"ThatGuy",1,"",0,0,0
176,6,1,23.7405366310092,4,"ThatGuy",0,"",0,0,1
176,7,0,24.8722871068145,4,"ThatGuy",1,"",0,0,0
176,8,0,24.5579004749429,4,"ThatGuy",0,"",0,0,1
176,9,1,22.0486934230976,4,"ThatGuy",0,"",0,1,1
147,1,1,23.2453966785193,6,"ThatGuy",NA,"",0,0,NA
147,10,0,-0.202528180208878,6,"ThatGuy",0,"",0,0,1
