"id","nearc4","ed76","age76","daded","momed","momdad14","sinmom14","step14","reg661","reg662","reg663","reg664","reg665","reg666","reg667","reg668","reg669","south66","work76","lwage76","black","smsa66r","wage76","kww","iq","marsta76"
34,1,15,26,12,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,40,125,6
35,1,12,25,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.33753808,0,1,208,30,106,1
36,1,12,25,9.94,11,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6.12468339,1,1,457,40,104,6
37,1,16,24,10,10,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.71417053,0,1,824,24,119,1
38,1,18,34,9.94,12,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6.35784227,0,1,577,47,122,1
39,1,11,28,6,10,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5.54126355,0,1,255,32,90,1
40,1,16,30,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.86901445,0,1,962,47,118,1
41,1,10,31,8,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.85012617,0,1,944,37,105,1
42,1,18,34,8,11,1,0,0,0,1,0,0,0,0,0,0,0,0,1,7.0440329,0,1,1146,43,115,1
43,1,12,32,9.94,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,NA,38,84,1
44,1,13,27,9,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,1,1,NA,31,94,6
45,1,6,27,2,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.78074352,0,1,324,16,NA,1
46,1,11,24,6,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.45958551,1,1,235,27,65,5
47,1,12,34,11,10,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.90775528,0,1,1000,45,120,1
48,1,9,26,9.94,12,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6.17586727,0,1,481,31,86,4
49,1,15,32,10,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.43615037,0,1,624,39,109,1
50,1,11,34,8,10,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.47697236,0,1,650,36,72,1
51,1,12,24,9.94,10,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5.84064166,1,1,344,31,NA,6
52,1,16,24,12,10,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.94017125,0,1,380,NA,NA,6
53,1,12,24,12,11,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.86646806,0,1,353,25,101,1
54,1,13,25,9.94,12,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6.49072353,0,1,659,29,105,6
55,1,17,28,10,10,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.43133108,0,1,621,48,136,1
56,1,12,25,10,11,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.08677473,0,1,440,40,101,1
57,1,12,26,12,10,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.60394382,1,1,738,34,96,6
58,1,14,24,11,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,1,1,NA,36,104,6
59,1,11,31,5,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.6347896,1,1,280,36,NA,1
60,1,13,26,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,1,1,NA,35,95,6
61,1,10,24,5,10.25,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6.07304453,0,1,434,34,NA,1
62,1,12,27,9.94,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6.5581978,0,1,705,34,101,1
63,1,12,27,10,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.05208917,0,1,425,32,91,1
64,1,12,24,9.94,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6.34738921,0,1,571,35,NA,1
65,1,16,30,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.28785856,0,1,538,52,115,6
66,1,14,27,9.94,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,NA,37,123,1
67,1,16,32,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.60665019,0,1,740,49,113,1
68,1,13,32,10,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.51174533,0,1,673,43,123,1
69,1,12,34,10,10,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.64509097,0,1,769,36,95,1
70,1,12,24,10,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6.38350663,0,1,592,26,102,1
71,1,9,24,12,11,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.36129217,1,1,213,15,NA,6
72,1,16,34,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,7.35436233,0,1,1563,50,145,1
73,1,16,28,11,11,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.65157187,0,1,774,35,114,1
74,1,12,26,8,9,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.39692966,0,1,600,35,113,1
75,1,16,25,16,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,NA,32,124,1
76,1,18,24,16,16,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.54103,0,1,693,24,NA,6
77,1,16,29,18,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,NA,34,NA,1
78,1,13,31,8,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.34563636,0,1,570,40,93,5
79,1,14,28,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.07073773,0,1,433,38,NA,5
80,1,15,28,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.28785856,0,1,538,37,119,2
81,1,12,25,12,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6.44094654,0,1,627,35,108,6
82,1,8,31,12,11,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.17586727,0,1,481,35,NA,1
83,1,12,26,6,11,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.30078579,0,1,545,26,72,1
84,1,12,25,12,9,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.35610766,0,1,576,34,86,1
85,1,16,25,14,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.55108034,0,1,700,42,123,1
86,1,16,28,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.66949809,0,1,788,38,103,1
87,1,17,27,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.91968385,0,1,1012,42,101,1
88,1,12,24,12,10,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.63068339,0,1,758,30,NA,1
89,1,14,29,12,16,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.39859493,0,1,601,41,105,6
90,1,12,24,9.94,12,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5.6454469,0,1,283,34,NA,6
91,1,12,26,12,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,NA,47,NA,1
92,1,12,24,12,12,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5.52146092,0,1,250,29,NA,6
93,1,13,27,10,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,NA,24,95,6
94,1,12,26,10,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.2146081,0,1,500,33,95,1
95,1,11,31,8,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.30991828,0,1,550,41,98,1
96,1,12,25,8,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,7.04141166,0,1,1143,27,NA,1
97,1,18,31,8,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.69703425,0,1,810,39,115,4
98,1,12,28,9.94,9,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5.74620319,1,1,313,20,60,6
99,1,18,25,9.94,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6.59441346,0,1,731,36,135,1
100,1,16,25,9,10,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.43775165,0,1,625,35,132,1
101,1,14,24,16,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.37672695,0,1,588,33,106,1
102,1,14,26,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.92692603,0,1,375,28,113,1
103,1,16,29,14,11,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.70563909,0,0,817,43,102,6
104,1,12,26,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,NA,35,100,2
105,1,14,30,15,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.76272951,0,1,865,32,91,1
106,1,15,28,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.85793315,0,0,350,30,104,1
107,1,13,24,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.3082677,0,1,202,22,NA,1
108,1,13,32,16,16,0,0,1,0,1,0,0,0,0,0,0,0,0,1,6.22455843,0,1,505,43,97,1
109,1,17,30,12,13,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.70441435,0,1,816,41,125,1
110,1,18,26,14,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.43775165,0,1,625,41,123,6
111,1,18,32,16,16,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.64509097,0,0,769,35,128,6
112,1,17,27,16,17,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.2146081,0,1,500,38,133,6
113,1,17,27,12,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.42810527,0,0,619,32,114,1
114,1,12,30,9.94,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6.47697236,0,1,650,40,103,1
115,1,18,28,10,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.64509097,0,1,769,36,130,1
116,1,12,26,10,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.23832463,0,1,512,33,97,1
117,1,18,31,12,13,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.43775165,0,1,625,46,132,1
118,1,14,31,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,7.01301579,0,1,1111,41,98,1
119,1,13,28,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.58063914,0,1,721,41,108,1
120,1,14,32,13,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,7.05098945,0,1,1154,44,107,1
121,1,14,25,9.94,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,NA,43,115,1
122,1,18,34,18,18,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.7178047,0,1,827,40,129,6
123,1,16,34,14,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.82762923,0,1,923,56,NA,1
124,1,17,28,14,17,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.98100574,0,0,1076,42,132,1
125,1,14,28,9.94,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,1,1,NA,46,97,1
126,1,12,33,9.94,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.43775165,0,1,625,37,101,1
127,1,13,27,9.94,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6.13122649,0,1,460,24,92,1
128,1,15,27,12,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,NA,27,92,1
129,1,14,24,8,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.80239476,1,1,900,39,108,6
130,1,18,29,8,9,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.52502966,0,0,682,NA,132,1
131,1,15,28,10,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,NA,27,107,1
132,1,12,24,10,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.01859321,0,1,411,20,NA,1
133,1,13,27,12,15,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.43775165,0,1,625,35,106,1
134,1,16,25,12,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,NA,37,105,4
135,1,18,32,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.91274282,0,1,1005,46,123,1
136,1,17,26,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,NA,35,117,1
137,1,12,34,7,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,NA,48,108,1
138,1,11,24,9,11,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.58617165,0,1,725,24,109,1
139,1,15,27,8,11,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.62007321,0,1,750,35,103,1
140,1,14,29,9.94,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.27098843,0,0,529,33,108,1
141,1,17,29,8,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.8793558,0,1,972,47,122,1
142,1,12,26,12,12,0,0,1,0,1,0,0,0,0,0,0,0,0,1,6.15697899,0,1,472,36,109,1
143,1,12,24,12,12,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5.78382518,0,1,325,35,102,6
144,1,12,34,9.94,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.77422389,0,1,875,44,109,1
145,1,13,34,9,10,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.43775165,0,1,625,40,100,1
146,1,12,26,8,10,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.82008293,0,1,337,29,93,1
147,1,16,27,5,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.17586727,0,1,481,37,115,1
148,1,9,29,5,10.25,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.47697236,0,1,650,NA,NA,6
149,1,16,25,5,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.94803499,0,1,383,39,NA,6
150,1,18,30,15,14,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.86901445,0,1,962,50,125,1
151,1,16,29,13,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.42162227,0,1,615,31,106,6
152,1,14,28,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.5539334,0,1,702,43,113,1
153,1,12,25,12,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,NA,35,NA,1
154,1,14,31,9.94,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.453625,0,1,635,41,122,6
155,1,12,28,10,11,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.29831737,0,1,200,35,NA,4
156,1,12,27,10,10,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.70563909,0,1,817,43,116,1
157,1,14,26,9.94,12,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6.35784227,0,1,577,39,116,1
158,1,17,26,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.14418563,0,1,466,34,105,1
159,1,16,29,9.94,12,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6.82871207,0,1,924,39,NA,1
160,1,16,31,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.67582322,0,0,793,38,112,1
161,1,14,28,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.453625,0,1,635,32,113,1
162,1,12,25,9.94,10.25,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6.34563636,0,1,570,22,NA,6
163,1,16,29,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.5581978,0,1,705,37,94,1
164,1,14,28,12,9,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.453625,0,1,635,40,103,1
165,1,12,30,9.94,12,0,0,1,0,1,0,0,0,0,0,0,0,0,1,6.54247196,0,1,694,36,102,1
166,1,13,34,10,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.42162227,0,1,615,47,109,1
167,1,16,26,15,10,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.13556489,0,1,462,34,130,6
168,1,12,34,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.76272951,0,1,865,45,105,1
169,1,18,33,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.60258789,0,0,737,46,134,1
170,1,12,25,8,14,1,0,0,0,1,0,0,0,0,0,0,0,0,1,7.24422752,0,1,1400,39,NA,1
171,1,12,31,9.94,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6.69456206,0,1,808,43,105,1
172,1,16,26,11,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.48310735,0,1,654,36,104,1
173,1,12,25,9.94,12,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5.70378247,0,1,300,35,112,1
174,1,16,30,8,10,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.35784227,0,1,577,37,115,4
175,1,11,24,9.94,10.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,1,1,NA,30,NA,2
176,1,16,24,10,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.57972983,0,1,265,44,NA,6
177,1,18,31,8,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.38687932,0,1,594,33,117,1
178,1,17,24,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,NA,32,NA,6
179,1,17,26,12,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.78382518,0,1,325,29,114,1
180,1,16,24,12,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.95324333,0,1,385,37,118,6
181,1,18,25,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.90775528,0,1,1000,32,107,1
182,1,18,28,8,11,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.14203741,0,1,465,49,120,6
183,1,16,28,16,18,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.08677473,0,0,440,43,131,6
184,1,16,27,16,17,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.43775165,0,0,625,40,124,6
185,1,17,27,11,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.65248918,0,1,285,36,121,1
186,1,14,27,10,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.47697236,0,1,650,35,110,1
187,1,13,25,10,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.69456206,0,1,808,34,103,1
188,1,12,24,10,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.2146081,0,1,500,26,NA,1
189,1,16,26,14,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.72262979,0,1,831,45,115,1
190,1,16,24,14,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,NA,28,121,6
191,1,12,31,8,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.2146081,0,1,500,33,96,1
192,1,17,32,12,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.54103,0,1,693,48,123,1
193,1,12,27,12,10,1,0,0,0,1,0,0,0,0,0,0,0,0,1,7.00306546,0,1,1100,37,101,1
194,1,12,25,8,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6.63725803,0,1,763,34,98,1
195,1,12,27,8,9,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.67834211,0,1,795,28,NA,1
196,1,16,25,7,8,1,0,0,1,0,0,0,0,0,0,0,0,0,1,5.80814249,0,1,333,31,108,6
197,1,18,30,16,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.01371516,0,1,409,39,138,1
198,1,16,27,9.94,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.76272951,0,1,865,37,121,1
199,1,12,31,8,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.78897174,0,1,888,34,96,1
200,1,12,34,9.94,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.51174533,0,1,673,47,89,1
201,1,12,33,7,10.25,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.55108034,0,1,700,43,109,6
202,1,18,33,16,16,1,0,0,1,0,0,0,0,0,0,0,0,0,1,5.52146092,0,1,250,44,133,6
203,1,11,27,11,9,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.43775165,0,1,625,32,84,6
204,1,13,31,8,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.03308622,0,1,417,37,NA,4
205,1,13,28,8,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.35610766,0,1,576,51,98,1
206,1,12,26,12,9,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.41836494,1,1,613,27,85,6
207,1,12,31,11,9,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.55108034,0,1,700,NA,105,1
208,1,12,24,11,9,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.10924758,0,1,450,20,93,6
209,1,16,28,9.94,12,0,1,0,1,0,0,0,0,0,0,0,0,0,1,6.2146081,0,1,500,38,115,1
210,1,12,25,12,10.25,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.24222327,0,1,514,36,NA,1
211,1,16,25,12,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,5.52146092,0,1,250,45,146,6
212,1,12,24,12,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,5.75257264,0,1,315,32,NA,6
213,1,12,29,9,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,5.92692603,0,1,375,32,82,1
214,1,16,33,16,16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,1,NA,26,128,1
215,1,14,34,5,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,1,1,NA,43,91,4
216,1,15,34,9.94,12,0,1,0,1,0,0,0,0,0,0,0,0,0,1,6.12468339,0,1,457,45,120,1
217,1,12,27,9.94,10.25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5.6167711,1,1,275,26,NA,6
218,1,12,28,9.94,12,0,1,0,1,0,0,0,0,0,0,0,0,0,1,6.85751406,0,1,951,38,122,1
219,1,16,32,8,9,1,0,0,1,0,0,0,0,0,0,0,0,0,1,7.01660968,0,0,1115,49,NA,1
220,1,16,25,12,14,1,0,0,1,0,0,0,0,0,0,0,0,0,1,5.66642669,0,1,289,31,128,6
221,1,16,25,9.94,10.25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6.2146081,0,1,500,34,110,1
222,1,18,32,16,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.58755001,0,1,726,46,114,1
223,1,18,29,18,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,7.1428274,0,1,1265,48,117,1
224,1,17,26,18,18,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.41836494,1,1,613,40,109,6
225,1,16,32,8,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,1,NA,44,109,1
226,1,12,28,10,11,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.30078579,0,1,545,35,91,6
227,1,13,28,12,8,1,0,0,1,0,0,0,0,0,0,0,0,0,1,5.62762111,0,1,278,32,107,1
228,1,12,26,12,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,1,NA,26,76,1
229,1,18,34,16,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,7.27378632,0,1,1442,55,114,1
230,1,16,27,16,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.90274274,0,1,995,40,126,1
231,1,12,29,11,11,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.55108034,0,1,700,45,82,1
232,1,12,30,9.94,10.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,1,NA,31,93,6
233,1,16,28,9,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.35784227,0,1,577,45,119,1
234,1,16,31,6,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6.7546041,0,1,858,37,104,1
235,1,12,28,12,10.25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6.53087763,0,1,686,35,97,1
