"year","statefip","age","sex","empstat","educ","wkswork1","uhrsworkly","incwage"
2010,"north dakota",22,"female","nilf, other","grade 10",12,24,1801
2010,"california",24,"female","at work","high school diploma or equivalent",40,30,14000
2017,"south dakota",45,"female","at work","high school diploma or equivalent",38,40,15000
2017,"oklahoma",59,"female","at work","doctorate degree",52,60,175000
2000,"alaska",22,"female","nilf, other","grade 10",4,20,550
2010,"north carolina",24,"male","at work","high school diploma or equivalent",7,35,3800
2000,"pennsylvania",53,"female","has job, not at work last week","bachelor's degree",52,45,35000
2000,"tennessee",44,"female","at work","some college but no degree",52,40,88000
2010,"california",32,"male","at work","grade 9",30,60,24000
2010,"california",50,"female","at work","high school diploma or equivalent",52,45,45000
2000,"washington",24,"female","at work","high school diploma or equivalent",4,20,315
2010,"wisconsin",53,"male","at work","master's degree",52,35,134527
2000,"connecticut",44,"male","at work","high school diploma or equivalent",52,50,45000
2010,"nevada",46,"male","at work","high school diploma or equivalent",52,32,12000
2000,"new york",51,"male","at work","high school diploma or equivalent",52,40,31000
2010,"washington",54,"female","at work","some college but no degree",52,40,32000
2000,"california",38,"male","at work","high school diploma or equivalent",52,40,30000
2010,"missouri",27,"male","at work","high school diploma or equivalent",52,40,30000
2010,"louisiana",36,"male","at work","grade 10",52,40,22880
2000,"utah",56,"male","at work","some college but no degree",52,40,30000
2010,"florida",53,"male","at work","grade 10",52,40,19000
2010,"kansas",47,"female","at work","some college but no degree",52,75,21000
2017,"new jersey",28,"male","at work","bachelor's degree",52,40,89000
2010,"kentucky",41,"male","at work","some college but no degree",52,50,57000
2010,"ohio",24,"male","at work","some college but no degree",39,30,3600
2010,"connecticut",33,"male","at work","associate's degree, academic program",52,50,84000
2010,"georgia",52,"male","at work","some college but no degree",52,55,125000
2017,"tennessee",45,"male","at work","high school diploma or equivalent",52,75,50700
2010,"new jersey",19,"male","at work","high school diploma or equivalent",52,16,10000
2000,"new york",43,"male","at work","high school diploma or equivalent",52,40,20000
2017,"virginia",53,"male","at work","associate's degree, occupational/vocational program",52,40,78000
2017,"texas",21,"female","at work","high school diploma or equivalent",6,10,150
2010,"illinois",18,"female","at work","high school diploma or equivalent",52,10,4290
2010,"georgia",56,"female","at work","bachelor's degree",44,45,76000
2010,"hawaii",28,"female","armed forces","12th grade, no diploma",52,40,20000
2000,"north carolina",39,"female","at work","high school diploma or equivalent",52,25,16000
2017,"minnesota",44,"male","at work","associate's degree, occupational/vocational program",40,45,37000
2010,"new jersey",35,"male","at work","high school diploma or equivalent",44,40,29000
2010,"south carolina",18,"female","at work","grade 11",26,30,5000
2000,"florida",38,"female","at work","associate's degree, occupational/vocational program",52,10,4000
2010,"florida",50,"male","at work","bachelor's degree",52,40,38000
2000,"maine",62,"male","at work","bachelor's degree",52,40,56000
2010,"maryland",43,"female","at work","some college but no degree",52,40,42000
2000,"texas",61,"male","at work","associate's degree, occupational/vocational program",52,50,37000
2017,"oregon",27,"male","at work","high school diploma or equivalent",52,60,80000
2000,"wisconsin",58,"male","at work","grade 9",52,50,45000
2017,"connecticut",50,"male","at work","high school diploma or equivalent",52,40,29650
2017,"california",27,"female","at work","bachelor's degree",52,40,67000
2000,"michigan",52,"male","at work","bachelor's degree",52,55,80000
2000,"colorado",43,"male","at work","master's degree",52,60,51000
2017,"arizona",26,"female","at work","high school diploma or equivalent",52,50,40000
2000,"indiana",32,"male","at work","associate's degree, occupational/vocational program",52,52,61000
2010,"florida",47,"male","has job, not at work last week","bachelor's degree",52,50,55000
2017,"kansas",52,"male","at work","high school diploma or equivalent",52,45,55000
2000,"michigan",47,"male","at work","bachelor's degree",52,40,229339
2000,"new york",38,"female","at work","professional school degree",52,60,60000
2010,"minnesota",33,"male","at work","some college but no degree",52,43,72000
2000,"california",21,"male","at work","high school diploma or equivalent",52,40,11000
2010,"michigan",45,"male","at work","bachelor's degree",41,40,39600
2010,"oklahoma",38,"male","at work","associate's degree, academic program",52,40,45000
2010,"new hampshire",49,"male","at work","master's degree",52,50,200000
2017,"hawaii",27,"female","at work","high school diploma or equivalent",52,36,28000
2010,"maryland",53,"male","at work","professional school degree",52,40,100600
2010,"south carolina",36,"female","unemployed, experienced worker","bachelor's degree",52,5,7000
2017,"delaware",20,"male","has job, not at work last week","high school diploma or equivalent",28,40,10000
2010,"new york",52,"female","at work","high school diploma or equivalent",52,40,25000
2010,"vermont",35,"male","at work","high school diploma or equivalent",52,45,45000
2017,"new jersey",41,"male","at work","bachelor's degree",52,50,125000
2010,"colorado",27,"female","at work","bachelor's degree",52,40,16000
2000,"tennessee",24,"male","at work","some college but no degree",32,40,3500
2010,"illinois",53,"male","at work","high school diploma or equivalent",52,40,23000
2010,"texas",25,"male","armed forces","high school diploma or equivalent",52,40,32000
2000,"district of columbia",40,"male","unemployed, experienced worker","bachelor's degree",52,47,44000
2010,"indiana",42,"male","at work","high school diploma or equivalent",40,40,41000
2000,"new york",20,"female","at work","some college but no degree",52,30,13000
2010,"texas",48,"male","at work","bachelor's degree",52,40,60000
2010,"district of columbia",23,"male","at work","some college but no degree",52,30,30000
2010,"north carolina",41,"male","at work","high school diploma or equivalent",52,40,48000
2010,"new jersey",44,"male","at work","bachelor's degree",52,52,62000
2010,"indiana",20,"male","at work","grade 11",52,17,3000
2000,"alaska",25,"female","at work","bachelor's degree",52,60,15304
2000,"alaska",22,"female","nilf, other","some college but no degree",12,20,1780
2017,"oklahoma",31,"male","at work","some college but no degree",24,15,10000
2000,"california",29,"female","at work","associate's degree, occupational/vocational program",52,40,41000
2010,"california",22,"male","unemployed, experienced worker","some college but no degree",45,25,10000
2017,"illinois",43,"male","at work","bachelor's degree",52,30,12500
2017,"florida",58,"male","at work","bachelor's degree",52,38,45000
2010,"maryland",33,"female","at work","professional school degree",52,40,79432
2010,"wyoming",25,"male","at work","some college but no degree",44,40,33200
2017,"oklahoma",47,"female","at work","bachelor's degree",52,36,25000
2010,"north dakota",35,"male","at work","master's degree",52,40,65000
2010,"california",27,"male","at work","grades 7 or 8",52,40,27000
2010,"georgia",32,"male","at work","bachelor's degree",52,40,60000
2017,"new york",32,"male","unemployed, experienced worker","high school diploma or equivalent",35,40,22000
2000,"california",57,"female","at work","some college but no degree",9,40,8100
2000,"north dakota",21,"male","has job, not at work last week","some college but no degree",52,15,7500
2017,"indiana",31,"male","at work","high school diploma or equivalent",12,12,1200
2010,"california",22,"female","at work","high school diploma or equivalent",52,40,4000
2010,"alaska",33,"female","at work","bachelor's degree",52,40,42000
2017,"south carolina",48,"female","at work","bachelor's degree",52,40,70000
2010,"south dakota",28,"female","at work","bachelor's degree",52,45,45730
2000,"new york",57,"male","at work","some college but no degree",52,48,40000
2017,"delaware",30,"male","at work","high school diploma or equivalent",52,40,31200
2010,"arizona",29,"male","at work","associate's degree, academic program",52,35,22000
2010,"california",44,"male","unemployed, experienced worker","some college but no degree",52,40,60000
2000,"illinois",46,"female","at work","high school diploma or equivalent",52,40,12000
2017,"maryland",24,"female","at work","bachelor's degree",52,42,55680
2017,"pennsylvania",54,"male","at work","high school diploma or equivalent",52,40,30000
2010,"michigan",37,"female","at work","associate's degree, academic program",52,40,5000
2017,"ohio",32,"male","at work","associate's degree, academic program",52,40,19000
2000,"nevada",64,"male","at work","high school diploma or equivalent",52,40,41320
2010,"florida",20,"female","at work","high school diploma or equivalent",52,20,7000
2010,"kentucky",22,"male","nilf, other","grades 7 or 8",8,25,2500
2010,"california",33,"female","at work","12th grade, no diploma",52,40,48000
2017,"michigan",28,"female","at work","bachelor's degree",52,50,42000
2010,"new jersey",51,"female","has job, not at work last week","bachelor's degree",36,40,30240
2010,"vermont",27,"female","at work","some college but no degree",52,40,15000
2000,"illinois",46,"male","at work","high school diploma or equivalent",52,40,55275
2000,"virginia",25,"male","at work","bachelor's degree",48,50,30000
2000,"nevada",28,"male","at work","grades 7 or 8",52,40,18000
2000,"ohio",61,"male","at work","high school diploma or equivalent",52,40,35000
2010,"pennsylvania",43,"male","at work","grade 11",46,40,16600
2010,"rhode island",20,"male","at work","high school diploma or equivalent",52,40,25000
2010,"texas",42,"female","at work","grade 11",48,20,7540
2010,"california",45,"male","at work","doctorate degree",52,40,100000
2000,"michigan",24,"female","at work","associate's degree, occupational/vocational program",52,60,21500
2010,"utah",28,"male","at work","high school diploma or equivalent",52,24,22000
2010,"montana",47,"male","at work","high school diploma or equivalent",20,40,26000
2017,"kansas",40,"male","at work","some college but no degree",52,50,55000
2010,"virginia",60,"male","has job, not at work last week","high school diploma or equivalent",24,40,20000
2010,"new york",35,"male","at work","bachelor's degree",52,40,100000
2000,"north dakota",55,"female","at work","high school diploma or equivalent",52,50,299
2000,"florida",33,"female","at work","bachelor's degree",52,40,25000
2017,"louisiana",26,"female","at work","some college but no degree",52,40,40000
2010,"north dakota",38,"male","at work","high school diploma or equivalent",52,40,30000
2010,"california",45,"female","at work","high school diploma or equivalent",52,40,28000
2000,"texas",21,"male","at work","grade 11",52,40,18000
2017,"new jersey",55,"male","at work","master's degree",52,40,67000
2017,"delaware",48,"female","at work","master's degree",52,60,45000
2010,"florida",57,"male","at work","high school diploma or equivalent",52,60,30000
2017,"minnesota",50,"male","at work","bachelor's degree",52,40,76000
2010,"georgia",38,"female","at work","high school diploma or equivalent",52,40,30000
2010,"kansas",45,"female","at work","bachelor's degree",52,25,35000
2010,"connecticut",19,"female","nilf, other","some college but no degree",52,15,3200
2017,"kansas",37,"female","unemployed, experienced worker","master's degree",34,40,63000
2017,"california",37,"male","at work","high school diploma or equivalent",52,60,62000
2000,"missouri",42,"male","at work","some college but no degree",52,40,229339
2000,"california",38,"male","at work","high school diploma or equivalent",52,40,18958
2017,"kentucky",46,"female","at work","some college but no degree",52,40,45000
2010,"virginia",48,"male","at work","grade 9",52,40,20000
2017,"massachusetts",31,"male","at work","bachelor's degree",12,45,6000
2000,"texas",19,"female","nilf, other","some college but no degree",6,40,1700
2000,"new mexico",49,"male","at work","bachelor's degree",52,80,19000
2017,"california",59,"female","at work","some college but no degree",52,40,75000
2017,"north carolina",60,"male","at work","doctorate degree",52,60,65000
2017,"minnesota",29,"male","at work","high school diploma or equivalent",52,45,35000
2000,"pennsylvania",18,"female","at work","grade 11",52,15,1500
2010,"rhode island",52,"male","at work","grade 10",52,40,20800
2010,"connecticut",35,"male","at work","high school diploma or equivalent",52,50,42000
2000,"illinois",33,"male","at work","some college but no degree",52,36,22500
2000,"new york",51,"male","at work","master's degree",52,42,92000
2000,"california",29,"male","at work","professional school degree",52,50,56837
2010,"michigan",53,"female","has job, not at work last week","high school diploma or equivalent",52,40,42000
2000,"ohio",41,"male","at work","master's degree",52,50,229339
2010,"montana",37,"male","at work","grade 10",52,40,30000
2000,"minnesota",36,"male","at work","12th grade, no diploma",52,30,4773
2010,"ohio",55,"female","at work","high school diploma or equivalent",52,40,30000
2000,"south carolina",54,"female","at work","high school diploma or equivalent",52,40,20000
2010,"texas",49,"female","at work","associate's degree, academic program",52,40,36000
2000,"new hampshire",29,"male","at work","some college but no degree",52,40,36000
2000,"colorado",28,"male","at work","high school diploma or equivalent",52,70,24000
2000,"virginia",23,"male","at work","high school diploma or equivalent",52,40,28000
2010,"michigan",25,"male","at work","some college but no degree",52,35,25000
2010,"pennsylvania",51,"male","at work","high school diploma or equivalent",52,55,48000
2010,"massachusetts",40,"male","at work","some college but no degree",52,36,20000
2000,"pennsylvania",53,"male","at work","bachelor's degree",52,40,70000
2010,"kansas",26,"female","at work","high school diploma or equivalent",52,40,55000
2010,"new mexico",35,"female","at work","associate's degree, occupational/vocational program",16,40,5100
2010,"hawaii",59,"male","at work","bachelor's degree",52,40,44000
2000,"california",50,"male","at work","associate's degree, academic program",52,40,36000
2017,"maine",57,"female","at work","some college but no degree",40,30,10000
2010,"florida",27,"male","at work","bachelor's degree",52,50,38000
2017,"arizona",60,"female","unemployed, experienced worker","master's degree",29,48,74000
2017,"florida",36,"female","at work","bachelor's degree",52,42,48000
2010,"mississippi",24,"female","at work","some college but no degree",52,35,10000
2017,"arizona",38,"male","at work","associate's degree, occupational/vocational program",52,40,65000
2000,"oregon",34,"male","at work","grade 10",52,40,19760
2010,"wyoming",61,"female","at work","some college but no degree",52,45,66138
2010,"connecticut",45,"male","at work","grade 9",46,38,19000
2010,"nebraska",29,"male","at work","high school diploma or equivalent",52,42,43000
2010,"california",25,"male","at work","bachelor's degree",36,40,19000
2000,"florida",19,"female","at work","high school diploma or equivalent",52,40,13000
2000,"massachusetts",19,"female","nilf, other","high school diploma or equivalent",10,35,3300
2000,"new hampshire",20,"male","at work","high school diploma or equivalent",47,40,15000
2000,"minnesota",47,"female","at work","doctorate degree",52,56,76000
2000,"pennsylvania",64,"male","at work","some college but no degree",52,40,20000
2000,"mississippi",47,"male","at work","associate's degree, occupational/vocational program",52,40,36000
2017,"west virginia",34,"male","at work","associate's degree, academic program",52,40,30000
2000,"new york",44,"female","has job, not at work last week","associate's degree, academic program",52,35,14000
2000,"massachusetts",45,"male","at work","some college but no degree",16,40,5000
2010,"wisconsin",45,"female","at work","high school diploma or equivalent",52,40,55000
2010,"virginia",40,"male","at work","bachelor's degree",52,45,160000
2000,"wisconsin",36,"male","at work","grade 10",52,40,24000
2010,"new jersey",53,"male","at work","professional school degree",52,60,150000
2010,"connecticut",46,"male","at work","high school diploma or equivalent",52,40,40000
2000,"maryland",45,"female","at work","high school diploma or equivalent",52,25,16000
2017,"iowa",32,"female","at work","bachelor's degree",52,45,67000
2010,"texas",61,"female","at work","master's degree",24,40,13000
2010,"new mexico",54,"male","at work","bachelor's degree",52,40,67000
2017,"new york",30,"female","nilf, other","grades 1, 2, 3, or 4",4,36,1000
2010,"texas",60,"male","at work","high school diploma or equivalent",25,35,17000
2017,"west virginia",40,"male","at work","high school diploma or equivalent",52,40,92000
2010,"arkansas",27,"female","at work","some college but no degree",52,40,18720
2010,"utah",31,"male","at work","bachelor's degree",52,42,64000
2000,"missouri",43,"female","at work","high school diploma or equivalent",52,40,33000
2017,"virginia",26,"male","at work","high school diploma or equivalent",52,50,55000
2010,"iowa",41,"female","at work","bachelor's degree",52,45,53000
2010,"texas",29,"female","at work","high school diploma or equivalent",52,35,8000
2017,"michigan",50,"female","at work","bachelor's degree",52,60,88000
2017,"california",31,"male","at work","high school diploma or equivalent",50,40,19000
2017,"arkansas",57,"female","at work","bachelor's degree",52,40,35000
2017,"wyoming",19,"male","nilf, other","grade 11",17,40,8180
2017,"hawaii",39,"male","at work","12th grade, no diploma",52,35,40000
2000,"texas",45,"male","at work","grades 5 or 6",52,40,10000
2000,"maryland",46,"male","at work","bachelor's degree",52,55,70000
2000,"arizona",21,"female","at work","some college but no degree",52,40,10000
2010,"california",26,"female","nilf, other","some college but no degree",12,20,2000
2010,"virginia",41,"male","at work","associate's degree, academic program",52,50,50000
2017,"montana",23,"female","nilf, other","some college but no degree",20,10,15000
2010,"texas",36,"female","at work","high school diploma or equivalent",52,40,28000
2000,"oklahoma",21,"female","nilf, other","high school diploma or equivalent",8,40,2700
2010,"florida",40,"male","at work","associate's degree, academic program",52,48,65000
2000,"nevada",34,"female","at work","high school diploma or equivalent",52,40,15600
2010,"washington",64,"male","nilf, retired","master's degree",12,8,3000
2010,"iowa",35,"male","at work","high school diploma or equivalent",51,40,42000
2010,"wyoming",41,"male","at work","bachelor's degree",52,40,43000
2000,"maryland",45,"female","at work","high school diploma or equivalent",52,40,55000
2000,"south dakota",23,"female","nilf, other","some college but no degree",52,35,520
2010,"rhode island",40,"female","at work","bachelor's degree",52,35,16500
2017,"alaska",23,"female","at work","grade 10",49,50,7200
2000,"pennsylvania",32,"female","at work","high school diploma or equivalent",52,38,32240
2010,"connecticut",29,"female","at work","associate's degree, academic program",30,40,22000
2017,"north carolina",29,"female","at work","associate's degree, occupational/vocational program",52,40,33000
2010,"texas",23,"female","at work","some college but no degree",52,40,19360
2010,"maryland",41,"female","at work","bachelor's degree",52,40,27000
2017,"new york",49,"male","at work","bachelor's degree",52,40,45000
2000,"wyoming",58,"female","at work","high school diploma or equivalent",52,40,10300
2010,"delaware",29,"male","at work","high school diploma or equivalent",52,30,35000
2017,"texas",52,"male","at work","bachelor's degree",52,40,84000
2010,"california",35,"female","at work","bachelor's degree",52,37,61000
2017,"kentucky",43,"female","at work","master's degree",52,53,96000
2017,"california",52,"male","at work","high school diploma or equivalent",52,40,10000
2000,"texas",36,"male","at work","high school diploma or equivalent",52,45,17000
